,upgrade the app
0,notification sound not working samsung
1,dunno why doalways error whensign
2,will not open
3,wants access everything talk about spy webb surely that not needed you should only havecall
4,audio didnwork
5,download pending for more than hour
6,great
7,have not been able successfully use the app
8,canmake video conference from polycom zoom
9,canhear anything
10,wondownload
11,just tried and failed send verification the message was partial
12,hello please improve one thing keep all meeting idz save once they enterd meeting please dodesktop update for that well
13,unable understand that what this
14,worst video quality
15,where link slow then what can
16,watchinglarge call mobile everyone that joins flashes alert the middle the screen
17,cant here anything
18,after installing and joiningmeeting screen started flashing off and even outside the apphad slowly work way towards the task manager force quit screen kept turning off the momentkilled the app everything started working again andimmediately uninstalledhave idea how that got messed but considering the ridiculous level permissions wanted could bemillion different things samsung galaxy note verizon devs
19,bokvash
20,terrible audio ongood connection terrible
21,woneven install
22,some
23,very disappointing app features are good but phone gets hanged every time
24,wonopen active
25,couldnlogin with sso takes towebpage wherem already signed
26,whenclick sign inm already signed the webview
27,nice utility
28,havenused the app uninstalled right after was installed complaint that the app requires permissions every bit information contacts files etc your phone nothing confidential from zoom not your information data even your phone device settings which zoom requires permission changewouldntrust this app any device with any confidential information whatsoever
29,hardly worked waste time
30,couldnt connect mtg
31,can some one solve problem connection zoom blocked byfirewall proxy
32,sound does not work sohave read the lips
33,cant get sound restarted phone uninstalled app and reinstalled still sound
34,every timetry dovideo chat says error
35,your speed too low
36,itso annoyingcanseems download
37,audio would not work contol panel will not even try use this again
38,guess works for some and not for otherscan download but canopen the app restarted phone but still nothing just wonopen tried download tablet and woneven download tweet all other apps are working weird sad moving
39,unable download app
40,this app doesnlet you with outemail and password this the most werst app ever
41,trying joinmeet and keep valid
42,unable joinmeeting been getting error
43,works great but one big bughave settings join meetings with video off yet the app randomly turns the video without knowledge might when phone loses signal and then reconnects but stillhuge privacy concern
44,poor
45,tried use the app formeeting but one could hear nor couldhear them tried rejoining the meetingcouple times and checked all permissions had been allowed settings somissed out important part training because this disappointing
46,does not work correctly with corporate sso server unfortunately for whentry joinmeeting the application logout additionally show merequest download version for android butuse exactly how can that the application showsrequest download itself very strange
47,couldnhear anything suchshame was looking forward this
48,have not access itlimited phone
49,audio does not work for android tried their fixes online still nothing
50,poor could not download video
51,error code wont let install
52,your app not installing phone
53,donget one bit
54,worst app ever
55,why explanation for the permission for location including precise location
56,nothin
57,garbage
58,will not work for
59,never workshave android edge operation android cant even
60,connect tosimple meeting where the host has iphone thumbs down
61,really hate lots time ruin meeting but any response andhave booked for class butam not able start online class
62,very bad they should use mac app
63,unistalled and downloaded again with out sound
64,signing through facebook does not work you will have create account before joining the meeting opening through browser smartphone tablet doesnwork either sends you the play store
65,useless mobile too complicated
66,warned for anybody not the you give the app permission use your phone and text msgs outgoing calls and texts are made tous number you will charged arm andleg for long distance fees your service provider for using this app
67,horrible
68,still downloading afterhalf hour does not seem right
69,been trying download this app for more tgan hours this starting think why botherfeel itswaiste time
70,power changing
71,having issue signing
72,trying download and itnot happening sucks
73,unable join
74,good app
75,will change rating someone explains how record meetings and how open ppt files
76,will not work android
77,havesamsung phone and this app not cooperating with says its
78,not availabe
79,canhear nothing
80,think its too heavy run phonee phone restarts every timetry joinmeeting
81,canhear
82,does not work properly too slow voice
83,whentry uninstall zoom app reboots phone every time
84,zoom sucks there should not betime limit all one should have pay anything use this app all
85,stucked all the time
86,use for sometime donlike lots lags sometimes drops and unreliable
87,every timeve had rely this for business becauseclient preferred skey down
88,absolute garbage app one timecanhear next timecantalk itnot like trying teleport and doesnwork itjust the basic functions that this app lacking
89,wouldndownload
90,woneven download
91,think was terrible
92,absolutely useless the most pointless conference call app ever really
93,angry that you canhear anything unless you dial separately and then
94,that doesneven work
95,heavy hell web based option stop forcing people download useless apps
96,tried logging from the app well web says network connection failed everytime
97,candownload says pending
98,sound repeat again and again
99,sound doesnt work whenevertry joinmeeting the mobile appcanhear anything
100,happy
101,hate you zoom oofffhate online classes
102,privacy
103,very bad
104,bad
105,terrible app better use google meet something
106,itvery harmful app steal our data alsodonwant use chines app
107,worst
108,ithorrible itvery laggy and bad quality
109,every time network problem
110,best app
111,spy
112,itnot installing laptop
113,hanging
114,video not appear couldget
115,unable access this app can you pls help
116,very bad app
117,very bad lacking much problems
118,impossible stay connected tomeeting
119,waste time
120,very poorhave had all meetings this week disconnected zoom during the meetingshave reported this zoom and only hadgeneric replyamlicensed user paying montham very dissatisfied with this service and actively looking forbetter service elsewherewould not recommend zoom the moment
121,literal garbage you could pick any number better options
122,please make virtual background possible android
123,trying download zoom macbook and the only option its giving download onmobile phone thatve not used since last october which has sim internet connection and not wongive any other options not even this macbookm wondownload this macbook not only that whentried joinmeeting and put the audio said macbook doesnsupport audio sogot soundhad back ipad whichonly have click the app get intomeeting you caneven put clickable apps onmacbook whats the point this zoom app wondownload onto the machine you actually
124,uselesswas joinzoom wedding event tried for minutes download the app got supreme runaround not geezer friendly ended playing solitaire never got the app
125,used once and then uninstalled but google play store still shows installed stupid thatcanremove
126,itkilling students lifeee internet wasting for this
127,hangouts exists
128,reinstalled the app two three times but its not opening
129,how can installed zoom app please tell fast because online class going
130,face dificulties install this app laptop why
131,heycould not sign zoom app please tell something resolve the problem
132,cannot get signed download the app locked out for then went back and could not download the app phone and cannot sign with google account google play havemeeting tomorrow looks bad for meam usingsamsung and gmail address should work said invalid and does not work withpassword changewill give one star for getting lost and help
133,have tried and tried get tozoom meeting with luck over
134,worst app not working phone
135,have installed this app huawei android phone play store says installed butcansee the app icon homescreen anyone can help
136,kept installing google verifies address but the app never surface phone
137,lakh plus zoom login details for sale dark web
138,cannot even get into your computer
139,not good
140,just dont like
141,sharing data very bad
142,supposedcancelled membership and they charged for another monthwill give you stars solve this
143,poor audio and poor connection and why wonit work for connex laptop please tell meeeee now must work for all device
144,porque puedo instalar esto sale que tengo instalado pero asi tengo instalado ningun dispositivo
145,takes too long download your tablet
146,have installed zoom cloud meetings app from google play store and showing installedam not able find the location where installed and how activate zoom helpline chat not understanding what issue can any one inform the path where the app installed
147,this app isjoke not working android smartphone cannot get audio video
148,this app horrible poorly works and steals your information
149,helloc
150,unable watch onlaptop
151,kaise iske profile banaya
152,very bad app plz delete all from your mobile
153,not safe
154,whycannot install the app
155,zoom app downloaded mobile but unable connect laptop
156,terrible
157,whentry joinmeetingcan see everyone clearly buthave sound andcan not enable micwent through all the troubleshootingcan think uninstall and reinstall app still doesnt work enable all app permissons for the app still does work check mic not muted checked try pushing the enable audio butoon app does work just nope uninstall use something else that works
158,never ever clear voice during meetings and continuous disconnection during all the meetings
159,dont will not secure
160,totally confusing setup and came with some gobbledegook error message computer speak fairly typical really software geeks zoom zoom cloud for example who knows does work with opera browser apparently not when you download doesneven confirm has successfully installed
161,trying download but automatically down load mobile plz guide
162,hell app uses most the mobile data
163,cannot get this app onto home screen badhave many meetings and cannot participate any lost tried all the waysi knew
164,govt india declare unsafe also found out that hackers sell zoom video app data for approx lakh that around usd this app not safe allam terminating account right away hope they didnsell data already boycottzoom
165,have downloaded twice asked forpassword once how dolog formeeting cannot work out how get zoom
166,since the updatecontinually drop out the meetingam really disappointing
167,audio permissions granted checked settings tried connecting headphones via jack neither works doc page not helpful seems show old information
168,not safe itchinese item that doesnlast long
169,bad experience
170,chines app
171,this mademess phone reset setting all apps had use this app dochat with insurance find other apps phone were all screwy make sure nothing was left behind this thingdidreset phone over
172,this app recently many hackers activities going newyork time say many accounts data cheating this app
173,just take down forfew months students donhave deal with
174,not downloaddownloaded this phone and has ruined phoneuninstalled with hours but sincedownloaded the app has restarted its own repeatedlytalked withservice technician for phone and the service rep cando anything but tell take torepair place
175,super laggy the point being unusable meeting recordings also fail load halfway through super annoying
176,cannot even install this app please help
177,tried two tables and two laptops and cell done does not work anythinghave donwaist your unless your device less than two years old
178,this sucks
179,bad bad
