Reviews,polarity,subjectivity,label
0,0.0,0.0,neutral
upgrade the app,0.0,0.0,neutral
notification sound not working samsung,0.4,0.4,positive
dunno why doalways error whensign,0.0,0.0,neutral
will not open,0.0,0.5,neutral
wants access everything talk about spy webb surely that not needed you should only havecall,0.2333333333333333,0.662962962962963,positive
audio didnwork,0.0,0.0,neutral
download pending for more than hour,0.5,0.5,positive
great,0.8,0.75,positive
have not been able successfully use the app,0.625,0.7875,positive
canmake video conference from polycom zoom,0.0,0.0,neutral
canhear anything,0.0,0.0,neutral
wondownload,0.0,0.0,neutral
just tried and failed send verification the message was partial,-0.3,0.3,negative
hello please improve one thing keep all meeting idz save once they enterd meeting please dodesktop update for that well,0.0,0.0,neutral
unable understand that what this,-0.5,0.5,negative
worst video quality,-1.0,1.0,negative
where link slow then what can,-0.30000000000000004,0.39999999999999997,negative
watchinglarge call mobile everyone that joins flashes alert the middle the screen,0.0,0.0,neutral
cant here anything,0.0,0.0,neutral
after installing and joiningmeeting screen started flashing off and even outside the apphad slowly work way towards the task manager force quit screen kept turning off the momentkilled the app everything started working again andimmediately uninstalledhave idea how that got messed but considering the ridiculous level permissions wanted could bemillion different things samsung galaxy note verizon devs,-0.15833333333333333,0.5125,negative
bokvash,0.0,0.0,neutral
terrible audio ongood connection terrible,-1.0,1.0,negative
woneven install,0.0,0.0,neutral
some,0.0,0.0,neutral
very disappointing app features are good but phone gets hanged every time,-0.040000000000000036,0.755,negative
wonopen active,-0.13333333333333333,0.6,negative
couldnlogin with sso takes towebpage wherem already signed,0.0,0.0,neutral
whenclick sign inm already signed the webview,0.0,0.0,neutral
nice utility,0.6,1.0,positive
havenused the app uninstalled right after was installed complaint that the app requires permissions every bit information contacts files etc your phone nothing confidential from zoom not your information data even your phone device settings which zoom requires permission changewouldntrust this app any device with any confidential information whatsoever,-0.007142857142857145,0.3678571428571429,negative
hardly worked waste time,-0.24583333333333335,0.2708333333333333,negative
couldnt connect mtg,0.0,0.0,neutral
can some one solve problem connection zoom blocked byfirewall proxy,0.0,0.0,neutral
sound does not work sohave read the lips,0.4,0.4,positive
cant get sound restarted phone uninstalled app and reinstalled still sound,0.4,0.4,positive
every timetry dovideo chat says error,0.0,0.0,neutral
your speed too low,0.0,0.3,neutral
itso annoyingcanseems download,0.0,0.0,neutral
audio would not work contol panel will not even try use this again,0.0,0.0,neutral
guess works for some and not for otherscan download but canopen the app restarted phone but still nothing just wonopen tried download tablet and woneven download tweet all other apps are working weird sad moving,-0.375,0.7916666666666666,negative
unable download app,-0.5,0.5,negative
this app doesnlet you with outemail and password this the most werst app ever,0.5,0.5,positive
trying joinmeet and keep valid,0.0,0.0,neutral
unable joinmeeting been getting error,-0.5,0.5,negative
