userName,,content,appId,Sentiment
Ratneshwar Prasad Sinha,,Upgrade the app,zoom,neutral
Arun Kumar,,Notification sound not working in samsung s4,zoom,negative
Alex Mendez,,i dunno why do i always error 103 when i sign in,zoom,negative
Weeping Willow,,It will not open,zoom,negative
Phree Zleva,,Wants access to everything. Talk about spy webb. Surely that is not needed if you should only have a call,zoom,positive
Seamus Johnston,,Audio didn't work,zoom,neutral
yasmine akili,,download is pending for more than 1 hour.,zoom,negative
A Google user,,great,zoom,positive
Nancy Chapman,,I have not been able to successfully use the app.,zoom,negative
Joshua Gomez,,Hate it because of my teacher,googleclassroom,negative
*x files theme plays*,,Wherever I go to upload videos to it it laods for a bit then stops... WITH NOTHING THERE. It works alright with photos but videos never work😡,googleclassroom,negative
Joslynn Fozy,,I didn't let me sign in and I had the right info,googleclassroom,neutral
Marshall Prather,,Can't install,googleclassroom,negative
A Google user,,How to found class code,googleclassroom,neutral
Laurel Gollnick,,I should have slept for the last half an hour instead of trying to figure out this app.,googleclassroom,negative
A Google user,,"it worked fine and then it started not getting my notifications now i uninstalled it and reinstalled it then it said ""you cant use this account"" or something, please fix this bug! my teachers will get mad!",googleclassroom,negative
Coen Mattews,,it sucks,googleclassroom,negative
Jiyaad Omar,,school,googleclassroom,neutral
christian avalos,,It keeps loving me out why,googleclassroom,positive
Rayeed Hasan,,"I want to join random classes around the world and find new teachers , I can't browse classes on the app",googleclassroom,neutral
Jeffery Sarenpa,,Unusable for me until it support Bluetooth headsets,googlemeetings,neutral
Vasa Asari,,always need upgrade when i wanna use it,googlemeetings,neutral
James Jones,,should make meet and chat the same app called it hangouts for business,googlemeetings,neutral
James Ellis,,Google! Stop! What are you doing?  We can't tell what your direction is with Messaging on Android.,googlemeetings,negative
Akash Yadav,,"Come on Google can't you just make one Unified app for all the communication. Hangout, Allo, Duo, Messenger, Voice now multiple Hangout apps as well.",googlemeetings,neutral
SANDEEP TORGAL (Marvell Employee),,Not working as expected,googlemeetings,negative
A Google user,,Incoherent,googlemeetings,negative
Ruben Endast,,"Horrible, hangouts worked better before this split.",googlemeetings,negative
Alex Orphic,,"So google has allo,duo,meet, Hangouts,chat,Android messages. Are serious? You confuse people, I understand that you want to keep the Hangouts User base but common, you make simple things complicated. Just include duo in Allo . And make Allo to support SMS so u can delete Android messages, and ofc Hangouts is dead already, it cannot compete against WhatsApp, messenger, Skype,Viber which are the top .. GUESS WHY. They have all in one apps , not one for chat, another for videos, another for chat but for professionals, another for meetings for professionals,another for SMS etc etc",googlemeetings,negative
Jim Keener,,No way to switch to headset speaker.,googlemeetings,negative
Sunil Kundu,,"On my Mi5, whenever i join a meeting, sound of the phone goes off! Means i can't even listen to a song​!! Why this app misbehaves with everything... Please look into the issue. I have to use another phone Everytime for meeting. I am nougat now. Edit: Hi, i am not trying to listen to song while on the Gotomeeting session. I am saying that after joining and then disconnecting the Gotomeeting session, i am not able to speak or listen any sound from my phone. Even in the cellular call i am not able to hear anything. That's what my concern is. I have to restart my device and then i can place the listen to anything on phone normally. It all started when i tried to use sound recorder(in built phone application on Mi5) during a Gotomeeting session. After this incident Gotomeeting misbehaves everytime i join a session through app. Please suggest a solution.",gotomeeting,negative
Annie P,,Seems this does not have a free version just a free trial. Uninstalling.,gotomeeting,negative
Amaka Obizolu,,Ok but have not been able.to install the app,gotomeeting,neutral
Marney Schorr,,terrible,gotomeeting,negative
Ashley Gibbons,,It wouldn't let me into the meeting & the support team kept giving wrong info when called for help....,gotomeeting,negative
Fred Arteaga,,Please give us an option to use the old app.  This new app is bad.,gotomeeting,negative
Yogeshwaran R,,"On opening the app, it closes abruptly.",gotomeeting,negative
A Google user,,Company Conf. Call,gotomeeting,negative
A Google user,,This app is so good really,gotomeeting,positive
Jules Fisher,,Lack of video is very disappointing. Major failing as is the ability to show presentations from Android devices.  For such a major corporation this is such a let down from the Windows app,gotomeeting,negative
