Reviews,polarity,subjectivity,label
Reviews,0.0,0.0,neutral
upgrade the app,0.0,0.0,neutral
notification sound not working in samsung s4,0.4,0.4,negative
i dunno why do always error 103 when sign in,0.0,0.0,neutral
it will not open,0.0,0.5,neutral
wants access to everything talk about spy webb surely that is not needed if you should only have call,0.2333333333333333,0.662962962962963,negative
audio didn work,0.0,0.0,neutral
download is pending for more than 1 hour ,0.5,0.5,negative
great,0.8,0.75,positive
i have not been able to successfully use the app ,0.625,0.7875,positive
can make video conference from polycom to zoom ,0.0,0.0,neutral
can hear anything,0.0,0.0,neutral
it won download,0.0,0.0,neutral
i just tried and it failed to send verification the message was partial,-0.3,0.3,negative
hello please improve one thing keep all meeting idz save once they enterd in meeting please do desktop update for that as well ,0.0,0.0,neutral
unable to understand that what is this ,-0.5,0.5,negative
worst video quality,-1.0,1.0,negative
where is link is slow then what we can do ,-0.30000000000000004,0.39999999999999997,negative
watching large call on mobile everyone that joins flashes an alert in the middle of the screen ,0.10714285714285714,0.21428571428571427,negative
i cant here anything,0.0,0.0,neutral
after installing and joining meeting my screen started flashing off and on even outside of the app had to slowly work my way towards the task manager to force quit as my screen kept turning off the moment killed the app everything started working again and immediately uninstalled have no idea how that got so messed up but considering the ridiculous level of permissions it wanted it could be million different things samsung galaxy note 2 on verizon devs ,-0.16666666666666666,0.41,negative
bokvash,0.0,0.0,neutral
terrible audio on good connection terrible ui ,-0.43333333333333335,0.8666666666666667,negative
won even install ,0.0,0.0,neutral
aw3some,0.0,0.0,neutral
no,0.0,0.0,neutral
very disappointing app features are good but phone gets hanged every time,-0.040000000000000036,0.755,negative
won open on my s5 active,-0.06666666666666667,0.55,negative
i couldn login with my sso takes me to webpage where m already signed in when click sign in m already signed in on the webview ,0.0,0.0,neutral
nice utility,0.6,1.0,positive
haven used the app uninstalled it right after it was installed my complaint is that the app requires permissions to every bit of information contacts files etc on your phone nothing is confidential from zoom not your information data or even your phone device settings which zoom requires permission to change wouldn trust this app on any device with any confidential information whatsoever ,-0.007142857142857145,0.3678571428571429,negative
hardly worked waste of time,-0.24583333333333335,0.2708333333333333,negative
couldnt connect to my mtg,0.0,0.0,neutral
can some one solve my problem my connection to zoom is blocked by firewall or proxy,0.0,0.0,neutral
2d,0.0,0.0,neutral
sound does not work so have to read the lips ,0.4,0.4,negative
i cant get sound restarted phone uninstalled app and reinstalled still no sound ,0.1,0.4,negative
every time try to do video chat it says error 5 ,0.0,0.0,neutral
your speed is too low,0.0,0.3,neutral
it so annoying can seems to download it,-0.8,0.9,negative
audio would not work no contol panel will not even try ro use this again,0.0,0.0,neutral
i guess it works for some and not for others can download it but can open the app restarted my phone but still nothing it just won open tried to download it in my tablet and it won even download tweet all my other apps are working weird sad moving on,-0.225,0.675,negative
unable to download app,-0.5,0.5,negative
this app doesn let you go in with out email and password this is the most werst app ever,0.5,0.5,negative
trying to join meet and keep in valid id,0.0,0.0,neutral
unable to join meeting been getting error 1132 ,-0.5,0.5,negative
works great but one big bug have my settings to join meetings with video off yet the app randomly turns the video on without my knowledge it might be when my phone loses signal and then reconnects but still huge privacy concern,0.08000000000000003,0.47000000000000003,negative
poor,-0.4,0.6,negative
tried to use the app for meeting but no one could hear me nor could hear them tried rejoining the meeting couple of times and checked all permissions had been allowed in settings so missed out on an important part of my training because of this disappointing ,-0.09999999999999998,0.85,negative
does not work correctly with corporate sso server unfortunately for me when try to join meeting the application logout me additionally it show me request to download an version for android but use it exactly how can it be that the application shows request to download of itself very strange ,-0.07875,0.36125,negative
couldn hear anything such shame was looking forward to this,0.0,0.5,neutral
i have not access it limited my phone,-0.07142857142857142,0.14285714285714285,negative
audio does not work for android tried their fixes online still nothing ,0.0,0.0,neutral
poor could not download video,-0.4,0.6,negative
error code 963 wont let me install,0.0,0.0,neutral
your app is not installing on my phone ,0.0,0.0,neutral
i don get it one bit,0.0,0.0,neutral
worst app ever,-1.0,1.0,negative
why no explanation for the permission for location including precise location ,0.4,0.8,negative
nothin,0.0,0.0,neutral
garbage,0.0,0.0,neutral
it will not work for me,0.0,0.0,neutral
never works have an android s7 edge operation on android 8 0 cant even connect to simple meeting where the host has an iphone 2 thumbs down ,-0.07777777777777779,0.32301587301587303,negative
i really hate it my lots of time ruin in meeting but it any response and have booked for class but am not able to start online class,-0.525,0.7625,negative
very bad ui they should use mac app ui,-0.9099999999999998,0.8666666666666667,negative
i ve unistalled and downloaded again with out sound ,0.4,0.4,negative
signing in through facebook does not work so you will have to create an account before joining the meeting opening through browser on smartphone or tablet doesn work either it sends you to the play store ,0.0,0.0,neutral
useless on mobile too complicated ,-0.5,0.6,negative
be warned for anybody not in the us you give the app permission to use your phone and text msgs so outgoing calls and texts are made to us number you will be charged an arm and leg for long distance fees by your service provider for using this app ,-0.05,0.4,negative
horrible ,-1.0,1.0,negative
still downloading after half hour does not seem right,0.05952380952380952,0.35119047619047616,negative
i ve been trying to download this app for more tgan 24 hours this starting me to think why bother feel its waiste of my time ,0.25,0.3,negative
power changing,0.0,0.0,neutral
am having issue signing in,0.0,0.0,neutral
trying to download and it not happening sucks,-0.3,0.3,negative
unable to join,-0.5,0.5,negative
good app,0.7,0.6000000000000001,positive
i will change my rating if someone explains how to record meetings and how to open ppt files ,0.0,0.5,neutral
vvvvvvvvvvvvery good app must download it,0.7,0.6000000000000001,positive
will not work on android 5 0,0.0,0.0,neutral
i have samsung phone and this app is not cooperating with it it says its not availabe,0.0,0.0,neutral
i can hear nothing ,0.0,0.0,neutral
i think its too heavy to be run on phone e my phone restarts every time try to join meeting ,-0.2,0.5,negative
i can hear,0.0,0.0,neutral
does not work properly too slow no hd voice,-0.15000000000000002,0.25,negative
when try to uninstall zoom app it reboots my phone every time ,0.0,0.0,neutral
zoom sucks there should not be time limit at all no one should have to pay anything to use this app at all ,-0.3,0.3,negative
stucked all the time,0.0,0.0,neutral
use for sometime don like it lots of lags sometimes drops and unreliable ,0.0,0.0,neutral
every time ve had to rely on this for business because client preferred it it ha skey me down ,-0.15555555555555559,0.2888888888888889,negative
absolute garbage of app one time can hear next time can talk it not like we re trying to teleport and it doesn work it just the basic functions that this app is lacking ,0.06666666666666667,0.3416666666666666,negative
wouldn download,0.0,0.0,neutral
won even download,0.0,0.0,neutral
i think it was terrible,-1.0,1.0,negative
absolutely useless the most pointless conference call app ever really angry that you can hear anything unless you dial is separately and then that doesn even work ,-0.1875,0.55,negative
heavy as hell no web based option stop forcing people to download useless apps,-0.35,0.35,negative
tried logging in from the app as well as web says network connection failed everytime,-0.5,0.3,negative
can download says pending ,0.0,0.0,neutral
sound repeat again and again,0.4,0.4,negative
sound doesnt work whenever try to join meeting on the mobile app can hear anything ,0.4,0.4,negative
happy,0.8,1.0,positive
 hate you zoom oofff hate online classes,-0.8,0.9,negative
no privacy,0.0,0.0,neutral
very bad,-0.9099999999999998,0.8666666666666667,negative
bad,-0.6999999999999998,0.6666666666666666,negative
terrible app better to use google meet or something,-0.25,0.75,negative
it very harmful app to steal our data also don want to use chines app,0.2,0.3,negative
worst,-1.0,1.0,negative
it horrible it very laggy and bad quality,-0.5,0.6555555555555556,negative
every time network problem,0.0,0.0,neutral
best app,1.0,0.3,positive
spy,0.0,0.0,neutral
it not installing in my laptop,0.0,0.0,neutral
chutteiya,0.0,0.0,neutral
bakkwassss,0.0,0.0,neutral
hanging,0.0,0.0,neutral
my video is not appear could get it,0.0,0.0,neutral
i am unable to access this app can you pls help,-0.5,0.5,negative
very bad app,-0.9099999999999998,0.8666666666666667,negative
very bad lacking to much problems,-0.35499999999999987,0.5333333333333333,negative
impossible to stay connected to meeting,-0.6666666666666666,1.0,negative
waste of time,-0.2,0.0,negative
ewwwww,0.0,0.0,neutral
very poor have had all of my meetings this week disconnected by zoom during the meetings have reported this to zoom and only had generic reply am licensed user paying 15 month am very dissatisfied with this service and am actively looking for better service elsewhere would not recommend zoom at the moment,0.007777777777777772,0.53,negative
literal garbage you could pick any number of better options ,0.5,0.5,negative
please make virtual background possible on android,0.0,1.0,neutral
im trying to download zoom on my macbook and the only option its giving me to download it is on mobile phone that ve not used since last october which has no sim no internet connection and not on it won give me any other options not even this macbook m on so it won download on this macbook not only that when tried to join meeting and put the audio on it said my macbook doesn support audio so got no sound had to go back to my ipad on which only have to click on the app to get into meeting you can even put clickable apps on macbook whats the point of this zoom app if it won download onto the machine you re actually on ,-0.040625,0.4927083333333333,negative
useless was to join zoom wedding event tried for 45 minutes to download the app got supreme runaround not geezer friendly ended up playing solitaire never got the app ,-0.0625,0.35,negative
i used it once and then uninstalled but my google play store still shows it as installed stupid that can remove it ,-0.7999999999999999,1.0,negative
it killing students lifeee 50 of internet is wasting for this,0.0,0.0,neutral
hangouts exists,0.0,0.0,neutral
reinstalled the app two to three times but its not opening ,0.0,0.0,neutral
aa thoooooo jeena mushkil kr diya ,0.0,0.0,neutral
in pc how we can installed zoom app please tell fast because my online class is going on,0.2,0.6,negative
i face dificulties to install this app on laptop why ,0.0,0.0,neutral
hey could not sign in to my zoom app please tell me something to resolve the problem ,0.0,0.0,neutral
i cannot get signed in or download the app locked out for 30 then went back and could not download the app on my phone and cannot sign in with my google account or google play have meeting tomorrow at 4 pm looks bad for me am using samsung 10 and gmail address should work said it is invalid and does not work with password change will give one star for getting lost and no help ,-0.3499999999999999,0.3333333333333333,negative
i have tried and tried to get on to zoom meeting with no luck over it ,0.0,0.0,neutral
worst app it is not working in my phone ,-1.0,1.0,negative
i have installed this app on my huawei android phone in play store it says installed but can see the app icon on homescreen if anyone can help,0.0,0.0,neutral
i kept on installing it google verifies my address but the app never surface on my phone ,0.0,0.0,neutral
5 lakh plus zoom login details up for sale on dark web ,-0.15,0.4,negative
it cannot even get into your computer,0.0,0.0,neutral
not good,-0.35,0.6000000000000001,negative
i just dont like it,0.0,0.0,neutral
sharing data is very bad ,-0.9099999999999998,0.8666666666666667,negative
supposed cancelled my membership and they charged me for another month will give you 4 stars if we solve this ,0.0,0.0,neutral
poor audio and poor connection and why won it work for connex laptop please tell meeeee now it must work for all device,-0.4,0.6,negative
porque no puedo instalar esto me sale que lo tengo instalado pero no es asi no lo tengo instalado en ningun dispositivo,0.0,0.0,neutral
it takes too long to download your tablet,-0.05,0.4,negative
i have installed zoom cloud meetings app from google play store and it is showing as installed am not able to find the location where it is installed and how to activate it zoom helpline chat is not understanding what my issue is can any one inform me the path where the app is installed ,-0.25,0.625,negative
this app is joke not working on my android smartphone cannot get audio or video ,0.0,0.0,neutral
this app is horrible it poorly works and steals your information,-0.7,0.8,negative
hello c ,0.0,0.0,neutral
i am unable to watch it on laptop ,-0.5,0.5,negative
kaise iske profile banaya,0.0,0.0,neutral
it is very bad app plz delete all from your mobile,-0.9099999999999998,0.8666666666666667,negative
not safe,-0.25,0.5,negative
why cannot install the app,0.0,0.0,neutral
zoom app is downloaded in my mobile but unable to connect in laptop,-0.5,0.5,negative
terrible,-1.0,1.0,negative
